




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K27ac_A549.intersect.G4.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K27ac_A549.intersect.G4.genes_uniq.txt (6328)	H3K27ac_A549.intersect.G4.genes_uniq.txt (expected)	H3K27ac_A549.intersect.G4.genes_uniq.txt (over/under)	H3K27ac_A549.intersect.G4.genes_uniq.txt (fold Enrichment)	H3K27ac_A549.intersect.G4.genes_uniq.txt (raw P-value)	H3K27ac_A549.intersect.G4.genes_uniq.txt (FDR)
protein metabolic process (GO:0019538)	4203	1731	1291.41	+	1.34	2.42E-30	9.32E-28
regulation of nitrogen compound metabolic process (GO:0051171)	5740	2242	1763.67	+	1.27	5.43E-30	2.04E-27
regulation of macromolecule metabolic process (GO:0060255)	6340	2436	1948.02	+	1.25	9.39E-30	3.45E-27
macromolecule modification (GO:0043412)	3211	1382	986.61	+	1.40	1.31E-29	4.72E-27
macromolecule localization (GO:0033036)	2496	1125	766.92	+	1.47	3.20E-29	1.12E-26
intracellular transport (GO:0046907)	1464	739	449.83	+	1.64	5.28E-29	1.82E-26
cell cycle (GO:0007049)	1316	680	404.35	+	1.68	9.88E-29	3.32E-26
protein localization (GO:0008104)	2063	960	633.88	+	1.51	3.28E-28	1.08E-25
cellular macromolecule biosynthetic process (GO:0034645)	1639	799	503.60	+	1.59	9.17E-28	2.96E-25
macromolecule biosynthetic process (GO:0009059)	1680	810	516.20	+	1.57	3.96E-27	1.25E-24
protein modification process (GO:0036211)	2985	1280	917.17	+	1.40	1.34E-26	4.09E-24
cellular protein modification process (GO:0006464)	2985	1280	917.17	+	1.40	1.34E-26	4.17E-24
cellular component biogenesis (GO:0044085)	2754	1198	846.19	+	1.42	1.43E-26	4.26E-24
cellular nitrogen compound biosynthetic process (GO:0044271)	1553	754	477.17	+	1.58	8.75E-26	2.56E-23
adaptive immune response (GO:0002250)	658	64	202.18	-	.32	4.45E-25	1.28E-22
cell cycle process (GO:0022402)	957	516	294.05	+	1.75	8.76E-25	2.47E-22
mitotic cell cycle (GO:0000278)	750	429	230.44	+	1.86	2.73E-24	7.58E-22
establishment of localization in cell (GO:0051649)	2335	1028	717.45	+	1.43	7.60E-24	2.07E-21
mitotic cell cycle process (GO:1903047)	675	395	207.40	+	1.90	1.12E-23	3.00E-21
biological_process (GO:0008150)	17851	5772	5484.88	+	1.05	3.04E-23	7.76E-21
establishment of protein localization (GO:0045184)	1397	679	429.24	+	1.58	2.98E-23	7.85E-21
Unclassified (UNCLASSIFIED)	2744	556	843.12	-	.66	3.04E-23	7.89E-21
cellular macromolecule localization (GO:0070727)	1480	709	454.74	+	1.56	5.20E-23	1.30E-20
cellular protein localization (GO:0034613)	1470	704	451.67	+	1.56	8.43E-23	2.08E-20
regulation of cell cycle (GO:0051726)	1164	583	357.65	+	1.63	3.69E-22	8.98E-20
cellular component assembly (GO:0022607)	2494	1071	766.30	+	1.40	4.96E-22	1.19E-19
protein transport (GO:0015031)	1300	632	399.44	+	1.58	1.11E-21	2.61E-19
cellular response to DNA damage stimulus (GO:0006974)	793	431	243.66	+	1.77	3.28E-21	7.62E-19
regulation of cellular biosynthetic process (GO:0031326)	4163	1638	1279.12	+	1.28	3.35E-21	7.68E-19
regulation of biosynthetic process (GO:0009889)	4226	1658	1298.48	+	1.28	4.51E-21	1.02E-18
regulation of macromolecule biosynthetic process (GO:0010556)	3999	1581	1228.73	+	1.29	5.02E-21	1.12E-18
positive regulation of cellular metabolic process (GO:0031325)	3314	1347	1018.26	+	1.32	6.66E-21	1.46E-18
nitrogen compound transport (GO:0071705)	1708	779	524.80	+	1.48	7.69E-21	1.66E-18
positive regulation of nitrogen compound metabolic process (GO:0051173)	3123	1281	959.57	+	1.33	7.81E-21	1.67E-18
cellular macromolecule catabolic process (GO:0044265)	925	481	284.21	+	1.69	1.07E-20	2.25E-18
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3968	1567	1219.20	+	1.29	1.24E-20	2.59E-18
RNA processing (GO:0006396)	930	482	285.75	+	1.69	1.73E-20	3.56E-18
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4049	1591	1244.09	+	1.28	2.70E-20	5.48E-18
macromolecule catabolic process (GO:0009057)	1058	525	325.08	+	1.61	2.33E-19	4.65E-17
heterocycle biosynthetic process (GO:0018130)	1049	521	322.31	+	1.62	2.95E-19	5.83E-17
chromosome organization (GO:0051276)	1064	526	326.92	+	1.61	3.68E-19	7.18E-17
humoral immune response (GO:0006959)	386	29	118.60	-	.24	4.00E-19	7.71E-17
regulation of catabolic process (GO:0009894)	1066	526	327.54	+	1.61	5.08E-19	9.68E-17
DNA metabolic process (GO:0006259)	777	412	238.74	+	1.73	7.02E-19	1.32E-16
protein localization to organelle (GO:0033365)	742	397	227.99	+	1.74	9.36E-19	1.74E-16
positive regulation of macromolecule metabolic process (GO:0010604)	3522	1396	1082.17	+	1.29	1.75E-18	3.21E-16
regulation of gene expression (GO:0010468)	4922	1863	1512.33	+	1.23	1.87E-18	3.32E-16
nucleobase-containing compound biosynthetic process (GO:0034654)	975	487	299.58	+	1.63	1.90E-18	3.33E-16
cellular catabolic process (GO:0044248)	1812	799	556.75	+	1.44	1.87E-18	3.35E-16
positive regulation of metabolic process (GO:0009893)	3820	1496	1173.73	+	1.27	1.85E-18	3.36E-16
mRNA metabolic process (GO:0016071)	697	377	214.16	+	1.76	2.54E-18	4.41E-16
regulation of cell cycle process (GO:0010564)	792	414	243.35	+	1.70	3.20E-18	5.50E-16
posttranscriptional regulation of gene expression (GO:0010608)	581	328	178.52	+	1.84	4.39E-18	7.46E-16
organic cyclic compound biosynthetic process (GO:1901362)	1196	569	367.48	+	1.55	4.80E-18	8.08E-16
aromatic compound biosynthetic process (GO:0019438)	1060	517	325.69	+	1.59	5.65E-18	9.39E-16
DNA repair (GO:0006281)	531	303	163.15	+	1.86	2.85E-17	4.70E-15
intracellular protein transport (GO:0006886)	781	404	239.97	+	1.68	3.61E-17	5.88E-15
regulation of cellular catabolic process (GO:0031329)	899	450	276.23	+	1.63	4.03E-17	6.50E-15
regulation of RNA metabolic process (GO:0051252)	3782	1466	1162.05	+	1.26	1.04E-16	1.66E-14
organic substance transport (GO:0071702)	2079	879	638.79	+	1.38	1.66E-16	2.62E-14
regulation of protein metabolic process (GO:0051246)	2665	1083	818.85	+	1.32	2.14E-16	3.35E-14
protein-containing complex subunit organization (GO:0043933)	1605	707	493.15	+	1.43	3.52E-16	5.46E-14
phosphorus metabolic process (GO:0006793)	1835	789	563.82	+	1.40	4.07E-16	6.24E-14
phosphate-containing compound metabolic process (GO:0006796)	1808	778	555.52	+	1.40	5.88E-16	8.93E-14
regulation of mitotic cell cycle (GO:0007346)	588	319	180.67	+	1.77	7.45E-16	1.12E-13
catabolic process (GO:0009056)	2096	879	644.01	+	1.36	9.01E-16	1.34E-13
regulation of cell cycle phase transition (GO:1901987)	522	291	160.39	+	1.81	1.23E-15	1.81E-13
regulation of organelle organization (GO:0033043)	1208	557	371.17	+	1.50	1.41E-15	2.06E-13
negative regulation of metabolic process (GO:0009892)	3095	1222	950.97	+	1.29	1.44E-15	2.10E-13
negative regulation of macromolecule metabolic process (GO:0010605)	2880	1148	884.91	+	1.30	1.87E-15	2.68E-13
cellular protein catabolic process (GO:0044257)	644	339	197.87	+	1.71	2.64E-15	3.76E-13
regulation of cellular protein metabolic process (GO:0032268)	2501	1016	768.45	+	1.32	2.71E-15	3.83E-13
protein modification by small protein conjugation or removal (GO:0070647)	1035	489	318.01	+	1.54	3.62E-15	5.07E-13
positive regulation of cellular process (GO:0048522)	5741	2091	1763.97	+	1.19	4.59E-15	6.25E-13
complement activation (GO:0006956)	177	5	54.38	-	.09	4.57E-15	6.29E-13
regulation of cellular amide metabolic process (GO:0034248)	479	270	147.18	+	1.83	4.55E-15	6.31E-13
regulation of mitotic cell cycle phase transition (GO:1901990)	434	251	133.35	+	1.88	5.06E-15	6.84E-13
protein catabolic process (GO:0030163)	697	357	214.16	+	1.67	6.93E-15	9.29E-13
negative regulation of cellular metabolic process (GO:0031324)	2613	1049	802.87	+	1.31	9.45E-15	1.26E-12
organic substance catabolic process (GO:1901575)	1769	753	543.54	+	1.39	1.24E-14	1.63E-12
regulation of cellular component organization (GO:0051128)	2390	969	734.35	+	1.32	2.08E-14	2.71E-12
negative regulation of nitrogen compound metabolic process (GO:0051172)	2453	990	753.71	+	1.31	2.37E-14	3.07E-12
defense response to bacterium (GO:0042742)	350	33	107.54	-	.31	3.29E-14	4.23E-12
negative regulation of cellular process (GO:0048523)	4902	1808	1506.18	+	1.20	3.42E-14	4.35E-12
mRNA processing (GO:0006397)	486	268	149.33	+	1.79	4.37E-14	5.52E-12
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1941	808	596.39	+	1.35	5.75E-14	7.21E-12
cell division (GO:0051301)	498	272	153.02	+	1.78	5.91E-14	7.35E-12
proteolysis involved in cellular protein catabolic process (GO:0051603)	609	317	187.12	+	1.69	6.37E-14	7.86E-12
regulation of translation (GO:0006417)	415	237	127.51	+	1.86	9.20E-14	1.13E-11
transcription, DNA-templated (GO:0006351)	530	284	162.85	+	1.74	1.02E-13	1.23E-11
RNA biosynthetic process (GO:0032774)	543	289	166.84	+	1.73	1.02E-13	1.24E-11
nucleic acid-templated transcription (GO:0097659)	531	284	163.15	+	1.74	1.09E-13	1.30E-11
localization (GO:0051179)	5831	2099	1791.63	+	1.17	1.97E-13	2.34E-11
complement activation, classical pathway (GO:0006958)	161	5	49.47	-	.10	2.24E-13	2.64E-11
organelle localization (GO:0051640)	609	313	187.12	+	1.67	2.64E-13	3.10E-11
modification-dependent protein catabolic process (GO:0019941)	552	289	169.61	+	1.70	4.72E-13	5.49E-11
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	165	6	50.70	-	.12	5.78E-13	6.66E-11
protein-containing complex assembly (GO:0065003)	1358	592	417.26	+	1.42	6.02E-13	6.89E-11
mitochondrion organization (GO:0007005)	468	254	143.80	+	1.77	7.57E-13	8.55E-11
regulation of mRNA metabolic process (GO:1903311)	376	216	115.53	+	1.87	7.56E-13	8.60E-11
ubiquitin-dependent protein catabolic process (GO:0006511)	545	285	167.46	+	1.70	8.36E-13	9.37E-11
negative regulation of biosynthetic process (GO:0009890)	1643	692	504.83	+	1.37	9.44E-13	1.05E-10
modification-dependent macromolecule catabolic process (GO:0043632)	563	292	172.99	+	1.69	9.73E-13	1.08E-10
negative regulation of cellular biosynthetic process (GO:0031327)	1610	680	494.69	+	1.37	1.04E-12	1.14E-10
negative regulation of cell cycle process (GO:0010948)	368	211	113.07	+	1.87	1.80E-12	1.96E-10
negative regulation of cell cycle (GO:0045786)	454	246	139.50	+	1.76	1.85E-12	2.00E-10
establishment of localization (GO:0051234)	4631	1697	1422.92	+	1.19	2.20E-12	2.36E-10
negative regulation of macromolecule biosynthetic process (GO:0010558)	1551	656	476.56	+	1.38	2.39E-12	2.55E-10
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1540	652	473.18	+	1.38	2.46E-12	2.61E-10
positive regulation of macromolecule biosynthetic process (GO:0010557)	1863	764	572.42	+	1.33	3.96E-12	4.18E-10
positive regulation of biological process (GO:0048518)	6331	2239	1945.26	+	1.15	5.83E-12	6.10E-10
response to endoplasmic reticulum stress (GO:0034976)	260	162	79.89	+	2.03	7.32E-12	7.62E-10
positive regulation of cellular biosynthetic process (GO:0031328)	1969	798	604.99	+	1.32	7.43E-12	7.68E-10
RNA splicing (GO:0008380)	409	224	125.67	+	1.78	8.63E-12	8.86E-10
protein modification by small protein conjugation (GO:0032446)	822	385	252.57	+	1.52	1.06E-11	1.08E-09
negative regulation of biological process (GO:0048519)	5501	1968	1690.23	+	1.16	1.37E-11	1.39E-09
organonitrogen compound catabolic process (GO:1901565)	1091	484	335.22	+	1.44	1.41E-11	1.42E-09
positive regulation of RNA metabolic process (GO:0051254)	1773	727	544.77	+	1.33	1.51E-11	1.51E-09
negative regulation of cell cycle phase transition (GO:1901988)	294	174	90.33	+	1.93	2.63E-11	2.62E-09
positive regulation of biosynthetic process (GO:0009891)	2004	805	615.75	+	1.31	2.68E-11	2.65E-09
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	303	177	93.10	+	1.90	3.34E-11	3.26E-09
mRNA splicing, via spliceosome (GO:0000398)	303	177	93.10	+	1.90	3.34E-11	3.28E-09
microtubule-based process (GO:0007017)	806	375	247.65	+	1.51	3.60E-11	3.49E-09
RNA splicing, via transesterification reactions (GO:0000375)	306	178	94.02	+	1.89	3.97E-11	3.83E-09
regulation of transcription, DNA-templated (GO:0006355)	3474	1299	1067.42	+	1.22	4.95E-11	4.74E-09
regulation of nucleic acid-templated transcription (GO:1903506)	3475	1299	1067.73	+	1.22	4.98E-11	4.74E-09
regulation of RNA biosynthetic process (GO:2001141)	3480	1300	1069.26	+	1.22	5.77E-11	5.46E-09
regulation of cellular response to stress (GO:0080135)	692	330	212.62	+	1.55	6.58E-11	6.19E-09
negative regulation of mitotic cell cycle (GO:0045930)	294	171	90.33	+	1.89	1.05E-10	9.80E-09
positive regulation of protein metabolic process (GO:0051247)	1562	644	479.94	+	1.34	1.27E-10	1.18E-08
organelle assembly (GO:0070925)	796	367	244.58	+	1.50	1.38E-10	1.27E-08
negative regulation of mitotic cell cycle phase transition (GO:1901991)	240	147	73.74	+	1.99	1.47E-10	1.35E-08
ribonucleoprotein complex biogenesis (GO:0022613)	462	239	141.95	+	1.68	1.53E-10	1.40E-08
proteasomal protein catabolic process (GO:0010498)	361	198	110.92	+	1.79	1.56E-10	1.42E-08
response to topologically incorrect protein (GO:0035966)	191	125	58.69	+	2.13	2.01E-10	1.82E-08
transport (GO:0006810)	4476	1620	1375.29	+	1.18	2.06E-10	1.85E-08
DNA replication (GO:0006260)	273	160	83.88	+	1.91	2.35E-10	2.10E-08
cell cycle checkpoint signaling (GO:0000075)	188	123	57.76	+	2.13	2.37E-10	2.10E-08
immune response (GO:0006955)	2075	473	637.56	-	.74	2.66E-10	2.35E-08
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1528	629	469.49	+	1.34	2.77E-10	2.43E-08
chromatin organization (GO:0006325)	703	330	216.00	+	1.53	2.81E-10	2.46E-08
phagocytosis, recognition (GO:0006910)	106	2	32.57	-	.06	3.05E-10	2.65E-08
protein ubiquitination (GO:0016567)	746	346	229.22	+	1.51	3.19E-10	2.76E-08
defense response (GO:0006952)	1426	302	438.15	-	.69	3.85E-10	3.31E-08
ncRNA metabolic process (GO:0034660)	521	259	160.08	+	1.62	4.31E-10	3.68E-08
peptidyl-amino acid modification (GO:0018193)	886	396	272.23	+	1.45	5.86E-10	4.98E-08
microtubule cytoskeleton organization (GO:0000226)	567	276	174.22	+	1.58	6.52E-10	5.51E-08
response to unfolded protein (GO:0006986)	168	112	51.62	+	2.17	6.72E-10	5.65E-08
mitotic nuclear division (GO:0140014)	201	127	61.76	+	2.06	6.90E-10	5.77E-08
establishment of protein localization to organelle (GO:0072594)	394	208	121.06	+	1.72	7.03E-10	5.85E-08
positive regulation of cellular protein metabolic process (GO:0032270)	1474	605	452.90	+	1.34	9.26E-10	7.66E-08
keratinization (GO:0031424)	227	21	69.75	-	.30	9.49E-10	7.82E-08
cell cycle phase transition (GO:0044770)	270	156	82.96	+	1.88	1.04E-09	8.49E-08
cellular protein-containing complex assembly (GO:0034622)	867	386	266.39	+	1.45	1.40E-09	1.14E-07
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	338	183	103.85	+	1.76	1.54E-09	1.25E-07
viral process (GO:0016032)	444	225	136.42	+	1.65	2.11E-09	1.70E-07
mitotic cell cycle checkpoint signaling (GO:0007093)	159	106	48.85	+	2.17	2.20E-09	1.76E-07
regulation of cellular protein localization (GO:1903827)	561	270	172.37	+	1.57	2.39E-09	1.91E-07
mitotic spindle organization (GO:0007052)	163	107	50.08	+	2.14	3.21E-09	2.54E-07
transcription by RNA polymerase II (GO:0006366)	382	199	117.37	+	1.70	3.21E-09	2.55E-07
mitotic cell cycle phase transition (GO:0044772)	262	150	80.50	+	1.86	3.47E-09	2.73E-07
organonitrogen compound biosynthetic process (GO:1901566)	1379	566	423.71	+	1.34	3.74E-09	2.93E-07
cellular response to topologically incorrect protein (GO:0035967)	152	102	46.70	+	2.18	3.95E-09	3.07E-07
spindle organization (GO:0007051)	224	133	68.83	+	1.93	5.24E-09	4.06E-07
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	184	115	56.54	+	2.03	5.95E-09	4.59E-07
ncRNA processing (GO:0034470)	436	218	133.96	+	1.63	7.90E-09	6.07E-07
opsonization (GO:0008228)	72	0	22.12	-	 < 0.01	8.75E-09	6.68E-07
B cell receptor signaling pathway (GO:0050853)	129	7	39.64	-	.18	1.08E-08	8.19E-07
protein targeting (GO:0006605)	322	172	98.94	+	1.74	1.09E-08	8.28E-07
response to bacterium (GO:0009617)	721	134	221.53	-	.60	1.37E-08	1.03E-06
regulation of inflammatory response to antigenic stimulus (GO:0002861)	222	23	68.21	-	.34	1.39E-08	1.04E-06
histone modification (GO:0016570)	363	188	111.54	+	1.69	1.44E-08	1.07E-06
cellular response to unfolded protein (GO:0034620)	131	90	40.25	+	2.24	1.46E-08	1.09E-06
cytoskeleton organization (GO:0007010)	1212	501	372.40	+	1.35	1.49E-08	1.10E-06
regulation of chromosome organization (GO:0033044)	290	158	89.11	+	1.77	1.53E-08	1.13E-06
regulation of protein modification process (GO:0031399)	1654	655	508.21	+	1.29	1.58E-08	1.15E-06
covalent chromatin modification (GO:0016569)	367	189	112.76	+	1.68	1.67E-08	1.22E-06
DNA integrity checkpoint signaling (GO:0031570)	150	98	46.09	+	2.13	1.72E-08	1.25E-06
regulation of cellular localization (GO:0060341)	841	368	258.40	+	1.42	1.73E-08	1.25E-06
negative regulation of RNA metabolic process (GO:0051253)	1408	569	432.62	+	1.32	1.82E-08	1.31E-06
intracellular signal transduction (GO:0035556)	1677	662	515.27	+	1.28	1.91E-08	1.37E-06
regulation of cell cycle G2/M phase transition (GO:1902749)	222	129	68.21	+	1.89	1.93E-08	1.37E-06
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	212	125	65.14	+	1.92	1.98E-08	1.40E-06
B cell mediated immunity (GO:0019724)	205	20	62.99	-	.32	2.00E-08	1.41E-06
translation (GO:0006412)	387	196	118.91	+	1.65	2.08E-08	1.46E-06
negative regulation of gene expression (GO:0010629)	999	423	306.95	+	1.38	2.57E-08	1.80E-06
positive regulation of RNA biosynthetic process (GO:1902680)	1629	644	500.52	+	1.29	2.63E-08	1.83E-06
regulation of protein modification by small protein conjugation or removal (GO:1903320)	245	138	75.28	+	1.83	2.66E-08	1.85E-06
positive regulation of transcription, DNA-templated (GO:0045893)	1628	643	500.22	+	1.29	3.02E-08	2.07E-06
positive regulation of nucleic acid-templated transcription (GO:1903508)	1628	643	500.22	+	1.29	3.02E-08	2.08E-06
positive regulation of catabolic process (GO:0009896)	519	246	159.47	+	1.54	3.47E-08	2.38E-06
apoptotic process (GO:0006915)	913	391	280.53	+	1.39	3.74E-08	2.55E-06
regulation of mRNA catabolic process (GO:0061013)	252	140	77.43	+	1.81	3.91E-08	2.61E-06
Golgi vesicle transport (GO:0048193)	398	199	122.29	+	1.63	3.91E-08	2.62E-06
DNA-dependent DNA replication (GO:0006261)	195	116	59.92	+	1.94	3.94E-08	2.62E-06
immunoglobulin mediated immune response (GO:0016064)	201	20	61.76	-	.32	3.86E-08	2.62E-06
cellular amide metabolic process (GO:0043603)	820	357	251.95	+	1.42	3.89E-08	2.63E-06
establishment of organelle localization (GO:0051656)	398	199	122.29	+	1.63	3.91E-08	2.63E-06
regulation of protein localization (GO:0032880)	894	384	274.69	+	1.40	4.06E-08	2.69E-06
DNA damage checkpoint signaling (GO:0000077)	142	93	43.63	+	2.13	4.16E-08	2.74E-06
organelle fission (GO:0048285)	369	187	113.38	+	1.65	4.21E-08	2.76E-06
cell recognition (GO:0008037)	241	28	74.05	-	.38	4.34E-08	2.83E-06
endoplasmic reticulum unfolded protein response (GO:0030968)	105	76	32.26	+	2.36	4.64E-08	3.02E-06
peptide cross-linking (GO:0018149)	102	4	31.34	-	.13	4.93E-08	3.19E-06
multicellular organismal process (GO:0032501)	6926	1897	2128.08	-	.89	5.44E-08	3.51E-06
regulation of signal transduction by p53 class mediator (GO:1901796)	201	118	61.76	+	1.91	5.65E-08	3.63E-06
lymphocyte mediated immunity (GO:0002449)	259	32	79.58	-	.40	6.46E-08	4.14E-06
process utilizing autophagic mechanism (GO:0061919)	309	162	94.94	+	1.71	6.64E-08	4.20E-06
proteolysis (GO:0006508)	1306	528	401.28	+	1.32	6.69E-08	4.21E-06
peptide biosynthetic process (GO:0043043)	414	204	127.21	+	1.60	6.61E-08	4.21E-06
autophagy (GO:0006914)	309	162	94.94	+	1.71	6.64E-08	4.22E-06
double-strand break repair (GO:0006302)	204	119	62.68	+	1.90	6.77E-08	4.25E-06
positive regulation of organelle organization (GO:0010638)	605	276	185.89	+	1.48	7.05E-08	4.40E-06
negative regulation of inflammatory response to antigenic stimulus (GO:0002862)	208	22	63.91	-	.34	7.33E-08	4.56E-06
mitochondrial transport (GO:0006839)	235	132	72.21	+	1.83	7.64E-08	4.74E-06
phosphorylation (GO:0016310)	877	375	269.47	+	1.39	7.90E-08	4.88E-06
positive regulation of cellular component organization (GO:0051130)	1161	476	356.73	+	1.33	8.24E-08	5.07E-06
amide biosynthetic process (GO:0043604)	537	250	165.00	+	1.52	8.66E-08	5.31E-06
nuclear transport (GO:0051169)	264	143	81.12	+	1.76	9.53E-08	5.82E-06
response to radiation (GO:0009314)	452	217	138.88	+	1.56	9.85E-08	5.99E-06
regulation of intracellular transport (GO:0032386)	364	183	111.84	+	1.64	1.01E-07	6.11E-06
signal transduction in response to DNA damage (GO:0042770)	167	102	51.31	+	1.99	1.02E-07	6.13E-06
chromosome segregation (GO:0007059)	286	152	87.88	+	1.73	1.04E-07	6.27E-06
negative regulation of cellular amide metabolic process (GO:0034249)	206	119	63.30	+	1.88	1.07E-07	6.42E-06
membrane docking (GO:0022406)	179	107	55.00	+	1.95	1.13E-07	6.75E-06
regulation of complement activation (GO:0030449)	118	7	36.26	-	.19	1.15E-07	6.85E-06
regulation of mRNA processing (GO:0050684)	140	90	43.02	+	2.09	1.18E-07	6.90E-06
protein modification by small protein removal (GO:0070646)	295	155	90.64	+	1.71	1.17E-07	6.92E-06
positive regulation of cellular catabolic process (GO:0031331)	450	216	138.27	+	1.56	1.17E-07	6.93E-06
response to stress (GO:0006950)	3626	1302	1114.12	+	1.17	1.29E-07	7.54E-06
mitotic DNA integrity checkpoint signaling (GO:0044774)	123	82	37.79	+	2.17	1.32E-07	7.72E-06
regulation of RNA stability (GO:0043487)	253	138	77.74	+	1.78	1.39E-07	8.10E-06
